1-350,,Original works,,,,,
1,,Opera,,,,,
1,O1,Don Sanche (Le château de l'amour),vv ch orch,,1824–25,Stage,"opera in 1 act; libretto by Théaulon and de Rancé, after a story by Jean-Pierre Claris de Florian; first perf. 1825-10-17 in Paris; unpublished"
24139,,Sacred choral works,,,,,
2,I4,Die Legende von der Heiligen Elisabeth,sop alt 3bar 2bass ch org orch,,1857–62,"Choral, sacred","extracts arr. for pf as S.498a, S.693a; for pf4h as S.578; introduction arr. for org as S.663a"
3,I7,Christus,sop alt ten bar bass ch org orch,,1866–72,"Choral, sacred","Nos.6–8 based on S.25, S.29, S.261; Nos.4 and 5 arr. for pf as S.498b, for pf4h as S.579; No.8 arr. for org as S.664"
42373,I8a,Cantico di San Francesco,bar pf org/harm (+ mch),F major,1862,"Choral, sacred",1st version of S.4/2; Alleluja arr. for org (+ tbn) as S.677
42404,I8b,Cantico del sol di Francesco d'Assisi,bar mch org orch,F major,1879–82,"Choral, sacred","2nd version; arr. for pf as S.499, for org as S.760; Prelude arr. for pf as S.498c, for org as S.665"
42374,I1a,Sainte Cécile (Die heilige Cäcilia),mez orch (?),,1845,"Choral, sacred",1st version of S.5/2 ; lost
42405,I1b,Sainte Cécile (Die heilige Cäcilia),mez orch (+ ch),,1874,"Choral, sacred",2nd version of S.5/1; arr. for mez hp/pf/harm (+ ch)  as S.5/2a
,,(Legende),,,,,
5/2a,I1b,Sainte Cécile (Die heilige Cäcilia),mez hp/pf/harm (+ ch),,1874,"Choral, sacred",arr. of S.5/2
,,(Legende),,,,,
6,L15,Die Glocken des Strassburger Münsters,2vv ch org orch,,1874–75,"Choral, sacred",oratorio; prelude arr. for pf4h as S.580; for pf as S.500; for org (+ ch) as S.666; for v org as S.767 [?]
7,I10,Cantantibus organis (Antiphona in festo Santa Caeciliae),alt ch orch,G major–G minor,1879,"Choral, sacred",
7a,I10,Cantantibus organis (Antiphona in festo Santa Caeciliae),alt ch harm,G major–G minor,1879,"Choral, sacred",
42377,J5a,Missa quattuor vocum ad aequales,mch org,,1846–47,"Choral, sacred",1st version of S.8/2
42408,J5b,Missa quattuor vocum ad aequales (Szekszárd Mass),mch org,,1869,"Choral, sacred",2nd version of S.8/1; themes used in S.264
9,I2,Missa Solennis (Graner Mass),sop alt ten bass ch orch,,1857–58,"Choral, sacred",extract ('Poco adagio') arr. for pf as S.747 [?]
10,J18,"Missa Choral, sacredis",ch org,,1859–65,"Choral, sacred",
11,I9,Ungarische Krönungsmesse (Hungarian Coronation Mass),4vv ch orch,,1866–69,"Choral, sacred","Nos.5 and 7 arr. for pf as S.501, for pf4h as S.581, for vn pf as S.381, for vn org/harm as S.678; No.5 arr. for org as S.667; No.6 arr. for mch pf as S.15a/1, for ch pf as S.15a/2; No.7 arr. for vn orch as S.362"
12,J22,Requiem (Messe des morts),4vv mch org (+ br perc),,1867–71,"Choral, sacred",includes S.45 as No.6; adapted for org as S.266; No.6 arr. for mch org as S.45
42382,I3a,"Psalm 13 (Herr, wie lange willst du meiner so gar vergessen)",4vv ch orch,,1855–56,"Choral, sacred",1st version of S.13/2
42413,I3b,"Psalm 13 (Herr, wie lange willst du meiner so gar vergessen)",ten ch orch,,1859–63,"Choral, sacred",2nd version of S.13/1; arr. for ten ch org as S.132/2a
13/2a,I3b,"Psalm 13 (Herr, wie lange willst du meiner so gar vergessen)",ten ch org,,1866,"Choral, sacred",arr. of S.13/2
42383,I5a,Psalm 18 (Coeli enarrant gloriam Dei / Die Himmel erzählen die Ehre Gottes),mch orch (+ org),,1860,"Choral, sacred","1st version of S.14/2; arr. for mch ww br as S.14/1a, for org as S.667a"
14/1a,I5a,Psalm 18 (Coeli enarrant gloriam Dei / Die Himmel erzählen die Ehre Gottes),mch ww br,,1860,"Choral, sacred",arr. of S.14/1; 1st version of S.14/2a
42414,I5b,Psalm 18 (Coeli enarrant gloriam Dei / Die Himmel erzählen die Ehre Gottes),mch org,,1870,"Choral, sacred",2nd version of S.14/1; arr. for mch ww br as S.14/2a
14/2a,I5b,Psalm 18 (Coeli enarrant gloriam Dei / Die Himmel erzählen die Ehre Gottes),mch ww br,,1870,"Choral, sacred",arr. of S.14/2; 2nd version of S.14/1a
15/1a,J10a,"Psalm 23 (Mein Gott, der ist mein Hirt)",sop/ten mch hp/(pf org)/harm,,1859–61?,"Choral, sacred","1st version of S.15/1b, S.15/2a, S.15/2b, S.15bis"
15/1b,K1,"Psalm 23 (Mein Gott, der ist mein Hirt)",sop/ten hp/(pf org)/harm,,1859–62,"Choral, sacred","2nd version of S.15/1a, S.15/2a, S.15/2b, S.15bis"
15/2a,J10b,"Psalm 23 (Mein Gott, der ist mein Hirt)",sop/ten mch hp/pf,,1859–62,"Choral, sacred","3rd version of S.15/1a, S.15/1b, S.15/2b, S.15bis"
15/2b,I1b,"Psalm 23 (Mein Gott, der ist mein Hirt)",sop/ten hp/pf,,1859–62,"Choral, sacred","4th version of S.15/1a, S.15/1b, S.15/2a, S.15bis"
15bis,S53,"Psalm 23 (Mein Gott, der ist mein Hirt)",ch orch,,1862,"Choral, sacred","5th version of S.15/1a, S.15/1b, S.15/2a, S.15/2b; lost"
15a/1,J6,Psalm 116 (Laudate Dominum),mch pf,,1869–74,"Choral, sacred",arr. of S.11/6
15a/2,J6,Psalm 116 (Laudate Dominum),ch pf,,1869–74,"Choral, sacred",arr. of S.11/6
42385,K6,Psalm 129 (De profundis),bar mch org,,1880–81,"Choral, sacred",originally intended for S.688; 1st version of S.16/2; themes re-used in S.172a/8 and S.173/4
42416,J45,Psalm 129 (De profundis),alt pf/org,,1883,"Choral, sacred",2nd version of S.16/1; themes re-used in S.172a/8 and S.173/4
42386,K2,Psalm 137 (An den Wassern zu Babylon),alt vn hp/pf org/harm,,1859,"Choral, sacred","1st version of S.17/2, S.17/3"
42417,J11,Psalm 137 (An den Wassern zu Babylon),sop fch hp/pf org/harm vn,,1859–62,"Choral, sacred","2nd version of S.17/1, S.17/3"
42446,S54,Psalm 137 (An den Wassern zu Babylon),ch orch,,1862,"Choral, sacred","3rd version of S.17/2, S.17/3; lost"
18,J4,Choruses with French texts (5):,ch,,1846?,"Choral, sacred",
42387,J4/5,Qui m'a donné la naissance,ch,,1846?,"Choral, sacred",incomplete
42418,J4/1,L'Eternel est son nom,ch,,1846?,"Choral, sacred",
42447,J4/2,"Chantons, chantons l'auteur de la lumière",ch,,1846?,"Choral, sacred",
42478,J4/3,"(Allegretto, moderato con grazia)",ch,A major,1846?,"Choral, sacred",possibly same as S.762
42508,J4/4,Combien j'ai douce souvenance,ch,,1846?,"Choral, sacred",based on an Auverge folksong
42388,J2/1,Hymne de l'enfant á son réveil (O père qu'adore mon père),fch pf/harm (+ hp),,1840–44?,"Choral, sacred","based on S.171c; 1st version of S.19/2, S.19/3, S.19/4; lost"
42419,J2/2,Hymne de l'enfant á son réveil (O père qu'adore mon père),ch pf/harm,,1860–62?,"Choral, sacred","2nd version of S.19/1, S.19/3, S.19/4; text in French and Italian"
42448,J2/3,Hymne de l'enfant á son réveil (O père qu'adore mon père),ch pf/harm,,1865,"Choral, sacred","3rd version of S.19/1, S.19/2, S.19/4; text in French and Italian"
42479,J2/4,Hymne de l'enfant à son réveil (O père qu'adore mon père),fch pf/harm (+ hp),,1874,"Choral, sacred","4th version of S.19/1, S.19/2, S.19/3; text in French, German and Hungarian"
42389,J1/1,Ave Maria I,ch (+ org),B? major,1842,"Choral, sacred",1st version of S.20/2; arr. for org as S.667b/1
42420,J1/2,Ave Maria I,ch org,A major,1852,"Choral, sacred",2nd version of S.20/1; arr. for org as S.667b/2
42390,J3/1,Pater noster I,mch,,1846,"Choral, sacred","based on S.172a/6; 1st version of S.21/2; sometimes ""Pater noster II"" in older listings"
42421,J3/2,Pater noster I,mch,,1852,"Choral, sacred",2nd version of S.21/1
22,J52,Pater noster IV,ch org,C major,1850?,"Choral, sacred",
23,J8,Domine salvum fac regem (Psalm 20),ten mch org,,1853,"Choral, sacred",
24,J7,Te Deum I,mch org,,1853?,"Choral, sacred","sometimes ""Te Deum II"" in older listings"
25,J9,Die Seligkeiten (Les béatitudes),bar ch (+ org),,1859,"Choral, sacred",rev. as S.3/6
26,M33,Festgesang zur Eröffnung der zehnten allgemeinen deutschen Lehrerversammlung (Wir bau’n und bestellen das edelste Feld),mch (+ org),,1858,"Choral, sacred",
27,J12,Te Deum II,mch org (+ br perc),,1867,"Choral, sacred","sometimes ""Te Deum I"" in older listings"
28,J13,An den heiligen Franziskus von Paula (Gebet),2ten 2bass mch org/harm (+3 tbn timp),,1860–74?,"Choral, sacred",based on S.175/2
29,J14,Pater noster II (Das Vater unser),ch org,A? major,1860,"Choral, sacred",rev. as S.3/7
30,J20,Responsorien und Antiphonen (Répons et Antiennes),ch (+ org),,1860,"Choral, sacred",
42400,J15a/1,Christus ist geboren I (Weihnachtslied I),ch org,,1863,"Choral, sacred",1st version of S.31/2
31/2,J15a/2,Christus ist geboren I (Weihnachtslied I),mch org,,1863,"Choral, sacred",2nd version of S.31/1
32/1,J15b/1,Christus ist geboren II (Weihnachtslied II),ch org/harm,,1863,"Choral, sacred","1st version of S.32/2, S.32/3; arr. for pf as S.502"
32/2,J15b/2,Christus ist geboren II (Weihnachtslied II),mch (+ org),,1863,"Choral, sacred","2nd version of S.32/1, S.32/3"
32/3,J15c,Christus ist geboren II (Weihnachtslied II),fch,,1863,"Choral, sacred","3rd version of S.32/1, S.32/2"
33,J16,"Slavimo slavno, Slaveni!",mch org,,1863–66,"Choral, sacred","arr. for pf as S.503, for org as S.668"
34/1,J19/1,Ave maris stella,ch org,G major,1865–66,"Choral, sacred",1st version of S.34/2
34/2,J19/2,Ave maris stella,mch org,B? major,1868,"Choral, sacred","2nd version of S.34/1; arr. for v pf/harm as S.680, for pf as S.506, for harm as S.669/2a, for org/harm as S.669/2b"
35/1,J17a,Crux! (Hymne des marins avec Antienne approbative de Notre Tout Saint Père Pie IX),mch,,1865,"Choral, sacred",1st version of S.35/2
35/2,J17b,Crux! (Hymne des marins avec Antienne approbative de Notre Tout Saint Père Pie IX),fch/cch pf,,1865,"Choral, sacred",2nd version of S.35/1
36,J21,Dall' alma Roma,2vv (+ org),,1867–68,"Choral, sacred",based on S.261
37,J23,Mihi autem adhaerere (Offertoire de la messe du patriarche séraphique San François),mch org,,1868,"Choral, sacred",
38,J24,Ave Maria II,ch org,D major,1869,"Choral, sacred","arr. for harm as S.667c, for v org/harm as S.681, for pf as S.504/1 and S.504/2"
39/1,J25a,Inno a Maria Vergine,ch hp org,,1869,"Choral, sacred",1st version of S.39/2
39/2,J25b,Inno a Maria Vergine,ch hp pf4h org/ham,,1869,"Choral, sacred",2nd version of S.39/1
40,J28,O salutaris hostia I,fch org,,1869,"Choral, sacred",
41/1,J26/1,Pater noster III,ch pf/org,F major,1869,"Choral, sacred",1st version of S.41/2
41/2,J26/2,Pater noster III,mch pf/org/harm,B? major,1869,"Choral, sacred",2nd version of S.41/1
42/1,J27/1,Tantum ergo,fch org,,1869,"Choral, sacred",1st version of S.42/2
42/2,J27/2,Tantum ergo,mch org,,1869,"Choral, sacred",2nd version of S.42/3
43,J29,O salutaris hostia II,ch (+ org),E major,1870,"Choral, sacred",
44,J31,Ave verum corpus,ch (+ org),,1871,"Choral, sacred",
45,J30,Libera me,mch org,,1871,"Choral, sacred",arr. of S.12/6
46/1,J32/1,Anima Christi sanctifica me,mch org,,1874,"Choral, sacred",1st version of S.46/1
46/2,J32/2,Anima Christi sanctifica me,mch org,,1874,"Choral, sacred",2nd version of S.46/2
47,J41,Sankt Christoph (Legend),fch pf harm (+ hp),,1881,"Choral, sacred",unpublished
48,I6,Der Herr bewahret die Seelen seiner Heiligen,ch br timp org,,1860–75?,"Choral, sacred",
49,J42,O heilige Nacht (Weihnachtslied),ten fch org/harm,,1881,"Choral, sacred",based on S.186/2
49a,—,Adeste fidelis,fch,, ?,"Choral, sacred",incomplete
50,A286b,Alte deutsche geistliche Weisen,ch kbd,,1878–79,"Choral, sacred","probably misattributed to Liszt, who arr. the pieces as S.504b and S.669a"
50/1,A286b/8,Es segne uns Gott,ch kbd,,1878–79,"Choral, sacred","arr. for pf as S.504b/3a, for ch org as S.669a/1"
50/2,A286b/4,Meine Seel' erhebt den Herrn (Gott sei gnädig und barmherzig),ch kbd,,1878–79,"Choral, sacred","arr. for pf as S.504b/3, for v ch/org as S.669a/2, for ch org as S.51"
50/3,A286b/3,Nun ruhen alle Wälder,ch kbd,,1878–79,"Choral, sacred","arr. for pf as S.504b/5, for v org as S.669a/3"
50/4,A286b/5,O Haupt voll Blut und Wunden,ch kbd,,1878–79,"Choral, sacred","arr. for pf as S.504b/6, for v org as S.669a/4"
50/5,A286b/6,O Lamm Gottes!,ch kbd,,1878–79,"Choral, sacred","arr. for pf as S.504b/7, for v pf/org as S.669a/5"
