Original works,,,,,
Opera,,,,,
Don Sanche (Le château de l'amour),1824–25,Stage,,vv ch orch,"opera in 1 act; libretto by Théaulon and de Rancé, after a story by Jean-Pierre Claris de Florian; first perf. 1825-10-17 in Paris; unpublished"
Sacred choral works,,,,,
Die Legende von der Heiligen Elisabeth,1857–62,"Choral, sacred",,sop alt 3bar 2bass ch org orch,"extracts arr. for pf as S.498a, S.693a; for pf4h as S.578; introduction arr. for org as S.663a"
Christus,1866–72,"Choral, sacred",,sop alt ten bar bass ch org orch,"Nos.6–8 based on S.25, S.29, S.261; Nos.4 and 5 arr. for pf as S.498b, for pf4h as S.579; No.8 arr. for org as S.664"
Cantico di San Francesco,1862,"Choral, sacred",F major,bar pf org/harm (+ mch),1st version of S.4/2; Alleluja arr. for org (+ tbn) as S.677
Cantico del sol di Francesco d'Assisi,1879–82,"Choral, sacred",F major,bar mch org orch,"2nd version; arr. for pf as S.499, for org as S.760; Prelude arr. for pf as S.498c, for org as S.665"
Sainte Cécile (Die heilige Cäcilia),1845,"Choral, sacred",,mez orch (?),1st version of S.5/2 ; lost
Sainte Cécile (Die heilige Cäcilia),1874,"Choral, sacred",,mez orch (+ ch),2nd version of S.5/1; arr. for mez hp/pf/harm (+ ch)  as S.5/2a
(Legende),,,,,
Sainte Cécile (Die heilige Cäcilia),1874,"Choral, sacred",,mez hp/pf/harm (+ ch),arr. of S.5/2
(Legende),,,,,
Die Glocken des Strassburger Münsters,1874–75,"Choral, sacred",,2vv ch org orch,oratorio; prelude arr. for pf4h as S.580; for pf as S.500; for org (+ ch) as S.666; for v org as S.767 [?]
Cantantibus organis (Antiphona in festo Santa Caeciliae),1879,"Choral, sacred",G major–G minor,alt ch orch,
Cantantibus organis (Antiphona in festo Santa Caeciliae),1879,"Choral, sacred",G major–G minor,alt ch harm,
Missa quattuor vocum ad aequales,1846–47,"Choral, sacred",,mch org,1st version of S.8/2
Missa quattuor vocum ad aequales (Szekszárd Mass),1869,"Choral, sacred",,mch org,2nd version of S.8/1; themes used in S.264
Missa Solennis (Graner Mass),1857–58,"Choral, sacred",,sop alt ten bass ch orch,extract ('Poco adagio') arr. for pf as S.747 [?]
"Missa Choral, sacredis",1859–65,"Choral, sacred",,ch org,
Ungarische Krönungsmesse (Hungarian Coronation Mass),1866–69,"Choral, sacred",,4vv ch orch,"Nos.5 and 7 arr. for pf as S.501, for pf4h as S.581, for vn pf as S.381, for vn org/harm as S.678; No.5 arr. for org as S.667; No.6 arr. for mch pf as S.15a/1, for ch pf as S.15a/2; No.7 arr. for vn orch as S.362"
Requiem (Messe des morts),1867–71,"Choral, sacred",,4vv mch org (+ br perc),includes S.45 as No.6; adapted for org as S.266; No.6 arr. for mch org as S.45
"Psalm 13 (Herr, wie lange willst du meiner so gar vergessen)",1855–56,"Choral, sacred",,4vv ch orch,1st version of S.13/2
"Psalm 13 (Herr, wie lange willst du meiner so gar vergessen)",1859–63,"Choral, sacred",,ten ch orch,2nd version of S.13/1; arr. for ten ch org as S.132/2a
"Psalm 13 (Herr, wie lange willst du meiner so gar vergessen)",1866,"Choral, sacred",,ten ch org,arr. of S.13/2
Psalm 18 (Coeli enarrant gloriam Dei / Die Himmel erzählen die Ehre Gottes),1860,"Choral, sacred",,mch orch (+ org),"1st version of S.14/2; arr. for mch ww br as S.14/1a, for org as S.667a"
Psalm 18 (Coeli enarrant gloriam Dei / Die Himmel erzählen die Ehre Gottes),1860,"Choral, sacred",,mch ww br,arr. of S.14/1; 1st version of S.14/2a
Psalm 18 (Coeli enarrant gloriam Dei / Die Himmel erzählen die Ehre Gottes),1870,"Choral, sacred",,mch org,2nd version of S.14/1; arr. for mch ww br as S.14/2a
Psalm 18 (Coeli enarrant gloriam Dei / Die Himmel erzählen die Ehre Gottes),1870,"Choral, sacred",,mch ww br,arr. of S.14/2; 2nd version of S.14/1a
"Psalm 23 (Mein Gott, der ist mein Hirt)",1859–61?,"Choral, sacred",,sop/ten mch hp/(pf org)/harm,"1st version of S.15/1b, S.15/2a, S.15/2b, S.15bis"
"Psalm 23 (Mein Gott, der ist mein Hirt)",1859–62,"Choral, sacred",,sop/ten hp/(pf org)/harm,"2nd version of S.15/1a, S.15/2a, S.15/2b, S.15bis"
"Psalm 23 (Mein Gott, der ist mein Hirt)",1859–62,"Choral, sacred",,sop/ten mch hp/pf,"3rd version of S.15/1a, S.15/1b, S.15/2b, S.15bis"
"Psalm 23 (Mein Gott, der ist mein Hirt)",1859–62,"Choral, sacred",,sop/ten hp/pf,"4th version of S.15/1a, S.15/1b, S.15/2a, S.15bis"
"Psalm 23 (Mein Gott, der ist mein Hirt)",1862,"Choral, sacred",,ch orch,"5th version of S.15/1a, S.15/1b, S.15/2a, S.15/2b; lost"
Psalm 116 (Laudate Dominum),1869–74,"Choral, sacred",,mch pf,arr. of S.11/6
Psalm 116 (Laudate Dominum),1869–74,"Choral, sacred",,ch pf,arr. of S.11/6
