original works, , , , , 

opera, , , , , 

don sanche (le château de l'amour), 1824–25, stage, , vv ch orch, "opera in 1 act; libretto by théaulon and de rancé
sacred choral works, , , , , 

die legende von der heiligen elisabeth, 1857–62, "choral,  sacred", , sop alt 3bar 2bass ch org orch
christus, 1866–72, "choral,  sacred", , sop alt ten bar bass ch org orch
cantico di san francesco, 1862, "choral,  sacred", f major, bar pf org/harm (+ mch)
cantico del sol di francesco d'assisi, 1879–82, "choral,  sacred", f major, bar mch org orch
sainte cécile (die heilige cäcilia), 1845, "choral,  sacred", , mez orch (?)
sainte cécile (die heilige cäcilia), 1874, "choral,  sacred", , mez orch (+ ch)
(legende), , , , , 

sainte cécile (die heilige cäcilia), 1874, "choral,  sacred", , mez hp/pf/harm (+ ch)
(legende), , , , , 

die glocken des strassburger münsters, 1874–75, "choral,  sacred", , 2vv ch org orch
cantantibus organis (antiphona in festo santa caeciliae), 1879, "choral,  sacred", g major–g minor, alt ch orch
cantantibus organis (antiphona in festo santa caeciliae), 1879, "choral,  sacred", g major–g minor, alt ch harm
missa quattuor vocum ad aequales, 1846–47, "choral,  sacred", , mch org
missa quattuor vocum ad aequales (szekszárd mass), 1869, "choral,  sacred", , mch org
missa solennis (graner mass), 1857–58, "choral,  sacred", , sop alt ten bass ch orch
"missa choral,  sacredis", 1859–65, "choral,  sacred", 
ungarische krönungsmesse (hungarian coronation mass), 1866–69, "choral,  sacred", , 4vv ch orch
requiem (messe des morts), 1867–71, "choral,  sacred", , 4vv mch org (+ br perc)
"psalm 13 (herr,  wie lange willst du meiner so gar vergessen)", 1855–56, "choral,  sacred", 
"psalm 13 (herr,  wie lange willst du meiner so gar vergessen)", 1859–63, "choral,  sacred", 
"psalm 13 (herr,  wie lange willst du meiner so gar vergessen)", 1866, "choral,  sacred", 
psalm 18 (coeli enarrant gloriam dei / die himmel erzählen die ehre gottes), 1860, "choral,  sacred", , mch orch (+ org)
psalm 18 (coeli enarrant gloriam dei / die himmel erzählen die ehre gottes), 1860, "choral,  sacred", , mch ww br
psalm 18 (coeli enarrant gloriam dei / die himmel erzählen die ehre gottes), 1870, "choral,  sacred", , mch org
psalm 18 (coeli enarrant gloriam dei / die himmel erzählen die ehre gottes), 1870, "choral,  sacred", , mch ww br
"psalm 23 (mein gott,  der ist mein hirt)", 1859–61?, "choral,  sacred", 
"psalm 23 (mein gott,  der ist mein hirt)", 1859–62, "choral,  sacred", 
"psalm 23 (mein gott,  der ist mein hirt)", 1859–62, "choral,  sacred", 
"psalm 23 (mein gott,  der ist mein hirt)", 1859–62, "choral,  sacred", 
"psalm 23 (mein gott,  der ist mein hirt)", 1862, "choral,  sacred", 
psalm 116 (laudate dominum), 1869–74, "choral,  sacred", , mch pf
psalm 116 (laudate dominum), 1869–74, "choral,  sacred", , ch pf
psalm 129 (de profundis), 1880–81, "choral,  sacred", , bar mch org
psalm 129 (de profundis), 1883, "choral,  sacred", , alt pf/org
psalm 137 (an den wassern zu babylon), 1859, "choral,  sacred", , alt vn hp/pf org/harm
psalm 137 (an den wassern zu babylon), 1859–62, "choral,  sacred", , sop fch hp/pf org/harm vn
psalm 137 (an den wassern zu babylon), 1862, "choral,  sacred", , ch orch
choruses with french texts (5):, 1846?, "choral,  sacred", , ch
qui m'a donné la naissance, 1846?, "choral,  sacred", , ch
l'eternel est son nom, 1846?, "choral,  sacred", , ch
"chantons,  chantons l'auteur de la lumière", 1846?, "choral,  sacred", 
"(allegretto,  moderato con grazia)", 1846?, "choral,  sacred", a major
combien j'ai douce souvenance, 1846?, "choral,  sacred", , ch
hymne de l'enfant á son réveil (o père qu'adore mon père), 1840–44?, "choral,  sacred", , fch pf/harm (+ hp)
hymne de l'enfant á son réveil (o père qu'adore mon père), 1860–62?, "choral,  sacred", , ch pf/harm
hymne de l'enfant á son réveil (o père qu'adore mon père), 1865, "choral,  sacred", , ch pf/harm
hymne de l'enfant à son réveil (o père qu'adore mon père), 1874, "choral,  sacred", , fch pf/harm (+ hp)
ave maria i, 1842, "choral,  sacred", b? major, ch (+ org)
ave maria i, 1852, "choral,  sacred", a major, ch org
pater noster i, 1846, "choral,  sacred", , mch
pater noster i, 1852, "choral,  sacred", , mch
pater noster iv, 1850?, "choral,  sacred", c major, ch org
domine salvum fac regem (psalm 20), 1853, "choral,  sacred", , ten mch org
te deum i, 1853?, "choral,  sacred", , mch org
die seligkeiten (les béatitudes), 1859, "choral,  sacred", , bar ch (+ org)
festgesang zur eröffnung der zehnten allgemeinen deutschen lehrerversammlung (wir bau’n und bestellen das edelste feld), 1858, "choral,  sacred", , mch (+ org)
te deum ii, 1867, "choral,  sacred", , mch org (+ br perc)
an den heiligen franziskus von paula (gebet), 1860–74?, "choral,  sacred", , 2ten 2bass mch org/harm (+3 tbn timp)
pater noster ii (das vater unser), 1860, "choral,  sacred", a? major, ch org
responsorien und antiphonen (répons et antiennes), 1860, "choral,  sacred", , ch (+ org)
christus ist geboren i (weihnachtslied i), 1863, "choral,  sacred", , ch org
christus ist geboren i (weihnachtslied i), 1863, "choral,  sacred", , mch org
christus ist geboren ii (weihnachtslied ii), 1863, "choral,  sacred", , ch org/harm
christus ist geboren ii (weihnachtslied ii), 1863, "choral,  sacred", , mch (+ org)
christus ist geboren ii (weihnachtslied ii), 1863, "choral,  sacred", , fch
"slavimo slavno,  slaveni!", 1863–66, "choral,  sacred", 
ave maris stella, 1865–66, "choral,  sacred", g major, ch org
ave maris stella, 1868, "choral,  sacred", b? major, mch org
crux! (hymne des marins avec antienne approbative de notre tout saint père pie ix), 1865, "choral,  sacred", , mch
crux! (hymne des marins avec antienne approbative de notre tout saint père pie ix), 1865, "choral,  sacred", , fch/cch pf
dall' alma roma, 1867–68, "choral,  sacred", , 2vv (+ org)
mihi autem adhaerere (offertoire de la messe du patriarche séraphique san françois), 1868, "choral,  sacred", , mch org
ave maria ii, 1869, "choral,  sacred", d major, ch org
inno a maria vergine, 1869, "choral,  sacred", , ch hp org
inno a maria vergine, 1869, "choral,  sacred", , ch hp pf4h org/ham
o salutaris hostia i, 1869, "choral,  sacred", , fch org
pater noster iii, 1869, "choral,  sacred", f major, ch pf/org
pater noster iii, 1869, "choral,  sacred", b? major, mch pf/org/harm
tantum ergo, 1869, "choral,  sacred", , fch org
tantum ergo, 1869, "choral,  sacred", , mch org
o salutaris hostia ii, 1870, "choral,  sacred", e major, ch (+ org)
ave verum corpus, 1871, "choral,  sacred", , ch (+ org)
libera me, 1871, "choral,  sacred", , mch org
anima christi sanctifica me, 1874, "choral,  sacred", , mch org
anima christi sanctifica me, 1874, "choral,  sacred", , mch org
sankt christoph (legend), 1881, "choral,  sacred", , fch pf harm (+ hp)
der herr bewahret die seelen seiner heiligen, 1860–75?, "choral,  sacred", , ch br timp org
o heilige nacht (weihnachtslied), 1881, "choral,  sacred", , ten fch org/harm
adeste fidelis,  ?, "choral,  sacred", , fch
alte deutsche geistliche weisen, 1878–79, "choral,  sacred", , ch kbd
es segne uns gott, 1878–79, "choral,  sacred", , ch kbd
meine seel' erhebt den herrn (gott sei gnädig und barmherzig), 1878–79, "choral,  sacred", , ch kbd
nun ruhen alle wälder, 1878–79, "choral,  sacred", , ch kbd
o haupt voll blut und wunden, 1878–79, "choral,  sacred", , ch kbd
o lamm gottes!, 1878–79, "choral,  sacred", , ch kbd
"was gott tut,  das ist wohlgetan", 1878–79, "choral,  sacred", 
wer nur den lieben gott läßt walten, 1878–79, "choral,  sacred", , ch kbd
vexilla regis, 1878–79, "choral,  sacred", , ch kbd
crux ave benedicta, 1878–79, "choral,  sacred", , ch kbd
o traurigkeit, 1878–79, "choral,  sacred", , ch kbd
nun danket alle gott!, 1878–79, "choral,  sacred", , ch kbd
jesu christe (die fünf wunden), 1878–79, "choral,  sacred", , ch kbd
meine seel' erhebt den herrn! (gott sei uns gnädig und barmherzig) (der kirchensegen), 1878, "choral,  sacred", , ch org
septem sacramenta, 1878–84, "choral,  sacred", , mez bar ch org/harm
via crucis (les 14 stations de la croix), 1876–79, "choral,  sacred", , vv ch pf/org/harm
o roma nobilis, 1878–79, "choral,  sacred", , ch org
ossa arida, 1879, "choral,  sacred", , ch org4h
rosario, 1879, "choral,  sacred", , ch org/harm (+ bar)
mysteria gaudiosa, 1879, "choral,  sacred", , ch org/harm
mysteria dolorosa, 1879, "choral,  sacred", , ch org/harm
mysteria gloriosa, 1879, "choral,  sacred", , ch org/harm
pater noster, 1879, "choral,  sacred", , bar/mch org/harm
in domum domini ibimus, 1884, "choral,  sacred", , ch br perc org
o sacrum convivium, 1880–85, "choral,  sacred", , alt fch org/harm
pro papa, 1880, "choral,  sacred", , ch org
tu es petrus, 1880, "choral,  sacred", , mch org
dominus conservet eum, 1880, "choral,  sacred", , ch org
ave maria iii (sposalizio), 1883, "choral,  sacred", , alt fch org/harm
nun danket alle gott, 1883, "choral,  sacred", , ch/mch 2tpt 3tbn timp org
mariengarten, 1884?, "choral,  sacred", , ch org (+ alt ten)
qui seminant in lacrimis, 1883, "choral,  sacred", , ch org
pax vobiscum!, 1885, "choral,  sacred", , mch (+ org)
qui mariam absolvisti, 1885, "choral,  sacred", , bar ch org/harm
salve regina, 1885, "choral,  sacred", , ch
secular choral works, , , , , 

festkantate zur enthüllung des beethoven-denkmals in bonn (was versammelt hier die menge), 1845, "choral,  secular", , 6vv orch
(beethoven cantata no.1), , , , , 

zur säcularfeier beethovens, 1869–70, "choral,  secular", , 4vv ch orch
(beethoven cantata no.2), , , , , 

chöre zu herders entfesseltem prometheus, 1850, "choral,  secular", , sop alt 2ten 2bass ch orch
chöre zu herders entfesseltem prometheus, 1855–59, "choral,  secular", , sop alt 2ten 2bass 2ch orch
chöre zu herders entfesseltem prometheus, 1877?, "choral,  secular", , sop alt 2ten 2bass 2ch orch
an die künstler, 1853, "choral,  secular", , 4vv mch ww br
an die künstler, 1853–54, "choral,  secular", , 4vv mch orch
an die künstler, 1856–57, "choral,  secular", , 4vv mch org orch
gaudeamus igitur (humoreske), 1869–70, orchestral, , orch, "1st version of s.71b
gaudeamus igitur (humoreske), 1869–70, "choral,  secular", , mch orch
gaudeamus igitur (humoreske), 1869–70, "choral,  secular", , ch orch
vierstimmige männergesänge (4):, 1841–42, "choral,  secular", , mch pf
rheinweinlied (wo solch ein feuer), 1841, "choral,  secular", , mch pf
rheinweinlied (wo solch ein feuer), 1884, "choral,  secular", , mch pf
studentenlied aus goethe's faust (es lebt’ eine ratt im kellernest), 1841–42, "choral,  secular", , mch
reiterlied i (die bange nacht ist nun herum), 1841–42, "choral,  secular", b? major, mch
reiterlied ii (die bange nacht ist nun herum), 1841–42, "choral,  secular", c major, mch
es war einmal ein könig (flohlied), 1844–45, "choral,  secular", , bar/bass mch pf
das deutsche vaterland i (was ist das deutsche vaterland?), 1841, "choral,  secular", d major, 4vv mch pf
das deutsche vaterland ii (was ist das deutsche vaterland?), 1848, "choral,  secular", c major, mch
Über allen gipfeln ist ruh’ (wanderers nachtlied), 1842, "choral,  secular", , mch
Über allen gipfeln ist ruh’ (wanderers nachtlied), 1849, "choral,  secular", , mch
Über allen gipfeln ist ruh’ (wanderers nachtlied), 1856, "choral,  secular", , mch 2hn
